Part Number,Name,Cost (£),Unit of Measure,Type (sash/casement/door),Supplier
I2273,Interior Letter tidy 280 x 80mm - Satin Chrome,99,each,Door,N/A
I2274,Interior Letter tidy 280 x 76mm - Satin Nickel,99,each,Door,N/A
I2275,Doctor door knocker 197mm - brass,99,each,Door,N/A
I2276,Doctor door knocker 197mm - Polished Chrome,99,each,Door,N/A
I2277,Doctor door knocker 197mm - Satin Chrome,99,each,Door,N/A
I2278,Doctor door knocker 197mm - Satin Nickel,99,each,Door,N/A
I2279,Centre door knob - 76mm - Brass,99,each,Door,N/A
I2280,Centre door knob -82mm- Polished Chrome,99,each,Door,N/A
I2281,Centre door knob -82mm- Satin Chrome,99,each,Door,N/A
I2282,Centre door knob -82mm- Satin Nickel,99,each,Door,N/A
I2283,Multipoint Lever door handle 92mm centres - Brass,99,each,Door,N/A
I2284,Multipoint Lever door handle 92mm centres - Polished Chrome,99,each,Door,N/A
I2285,Multipoint Lever door handle 92mm centres - Satin Chrome,99,each,Door,N/A
I2286,Multipoint Lever door handle 92mm centres - Satin Nickel,99,each,Door,N/A
I2287,Multipoint Lever door handle 92mm centres - Black,99,each,Door,N/A
I2288,White Trickle Vent Large,45,each,Casement,N/A
I2289,White Trickle Vent Medium,45,each,Casement,N/A
I2290,White Trickle Vent Small,45,each,Casement,N/A
I2291,Black Trickle Vent Large,45,each,Casement,N/A
I2292,Black Trickle Vent Medium,45,each,Casement,N/A
I2293,Black Trickle Vent Small,45,each,Casement,N/A
I2294,Grey Trickle Vent Large,45,each,Casement,N/A
I2295,Grey Trickle Vent Medium,45,each,Casement,N/A
I2296,Grey Trickle Vent Small,45,each,Casement,N/A
I2297,Silver Trickle Vent Large,45,each,Casement,N/A
I2298,Silver Trickle Vent Medium,45,each,Casement,N/A
I2299,Silver Trickle Vent Small,45,each,Casement,N/A
I2300,Traditional Lever Handle RH PB,99,each,Door,Carlisle Brass DL54Y
I2301,Traditional Lever Handle LH PB,99,each,Door,Carlisle Brass DL54Y
I2302,Traditional Lever Handle RH PC,99,each,Door,Carlisle Brass DL54Y
I2303,Traditional Lever Handle LH PC,99,each,Door,Carlisle Brass DL54Y
I2304,Traditional Lever Handle RH SC,99,each,Door,Carlisle Brass DL54Y
I2305,Traditional Lever Handle LH SC,99,each,Door,Carlisle Brass DL54Y
