Sort ,Name,Group,Loop,Condition,Qty,Value,Markup,Comment
259,Triple Casement frame with fanlights upto 4.0 sw m New Design 3 2 ,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 6) and full_length_frame_mullion_qty == 2 and (frame_transom_qty == 1 or new_floating_transom_casement_pair_qty == 1 ) and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 3.0 and area <= 4.0,1,6750,no_markup,
260,Triple Casement frame with fanlights upto 5.0 sw mNew Design 3 2 ,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 6) and full_length_frame_mullion_qty == 2 and (frame_transom_qty == 1 or new_floating_transom_casement_pair_qty == 1 ) and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 4.0 and area <= 5.0,1,7000,no_markup,
261,Triple Casement frame with fanlights over 5.0 sq m New Design 3 2 ,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 6) and full_length_frame_mullion_qty == 2 and (frame_transom_qty == 1 or new_floating_transom_casement_pair_qty == 1 ) and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 5.0,1,7250,no_markup,
265,Quadruple Casement frame New Design 4 1 from 3 sq M,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 4) and full_length_frame_mullion_qty == 3 and frame_transom_qty == 0 and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 3.0,1,4000,no_markup,
266,Quadruple Casement frame New Design 4 1 upto 4 sq M,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 4) and full_length_frame_mullion_qty == 3 and frame_transom_qty == 0 and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 3.0 and area <= 4.0,1,4500,no_markup,
267,Quadruple Casement frame New Design 4 1 over 4 sq M,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 4) and full_length_frame_mullion_qty == 3 and frame_transom_qty == 0 and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 4.0,1,5000,no_markup,
270,Quadrule Casement frame with fanlights New Design 4 2 From 4 Sq m,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 4) and full_length_frame_mullion_qty == 3 and frame_transom_qty == 1 and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area <= 4.0,1,5500,no_markup,
271,Quadrule Casement frame with fanlights New Design 4 2 upto 5 Sq m,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 4) and full_length_frame_mullion_qty == 3 and frame_transom_qty == 1 and door_leaf_qty == 0 and sliding_sash_qty == 0 and area > 4.0 and door_leaf_qty == 0 and area <= 5.0,1,6000,no_markup,
272,Quadrule Casement frame with fanlights New Design 4 2 upto 6 Sq m,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 4) and full_length_frame_mullion_qty == 3 and frame_transom_qty == 1 and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 5.0 and area <= 6.0,1,6500,no_markup,
273,Quadrule Casement frame with fanlights New Design 4 2 over 6 Sq m,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 4) and full_length_frame_mullion_qty == 3 and frame_transom_qty == 1 and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 6.0,1,6500,no_markup,
